ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
2888036,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,59,Swanston St - RMIT Building 80,1
2888037,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,61,Swanston St - RMIT Building 14,166
2888038,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,62,La Trobe St (North),124
2888039,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,4,Town Hall (West),375
2888040,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,17,Collins Place (South),43
2888041,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,18,Collins Place (North),14
2888042,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,53,Collins St (North),105
2888043,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,2,Bourke Street Mall (South),92
2888044,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,1,Bourke Street Mall (North),142
2888045,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,3,Melbourne Central,505
2888046,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,15,State Library,222
2888047,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,9,Southern Cross Station,19
2888048,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,10,Victoria Point,8
2888049,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,12,New Quay,40
2888050,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,11,Waterfront City,3
2888051,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,8,Webb Bridge,17
2888052,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,7,Birrarung Marr,106
2888053,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,5,Princes Bridge,300
2888054,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,6,Flinders Street Station Underpass,497
2888055,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,14,Sandridge Bridge,2
2888056,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,26,QV Market-Elizabeth St (West),157
2888057,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,24,Spencer St-Collins St (North),215
2888058,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,23,Spencer St-Collins St (South),80
2888059,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,25,Melbourne Convention Exhibition Centre,259
2888060,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,21,Bourke St-Russell St (West),441
2888061,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,20,Chinatown-Lt Bourke St (South),176
2888062,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,19,Chinatown-Swanston St (North),308
2888063,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,22,Flinders St-Elizabeth St (East),453
2888064,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,27,QV Market-Peel St,26
2888065,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,28,The Arts Centre,74
2888066,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,31,Lygon St (West),110
2888067,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,30,Lonsdale St (South),460
2888068,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,34,Flinders St-Spark La,21
2888069,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,39,Alfred Place,10
2888070,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,37,Lygon St (East),23
2888071,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,40,Lonsdale St-Spring St (West),62
2888072,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,36,Queen St (West),298
2888073,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,29,St Kilda Rd-Alexandra Gardens,38
2888074,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,42,Grattan St-Swanston St (West),329
2888075,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,43,Monash Rd-Swanston St (West),16
2888076,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,44,Tin Alley-Swanston St (West),9
2888077,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,35,Southbank,304
2888078,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,45,Little Collins St-Swanston St (East),248
2888079,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,46,Pelham St (S),9
2888080,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,47,Melbourne Central-Elizabeth St (East),260
2845162,09/29/2019 02:00:00 PM,2019,September,29,Sunday,14,46,Pelham St (S),104
2888081,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,48,QVM-Queen St (East),33
2888082,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,49,QVM-Therry St (South),94
2888083,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,50,Faraday St-Lygon St (West),19
2888084,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,51,QVM-Franklin St (North),38
2888085,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,52,Elizabeth St-Lonsdale St (South),249
2888086,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,54,Lincoln-Swanston(West),37
2888087,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,55,Elizabeth St-La Trobe St (East),328
2888088,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,56,Lonsdale St - Elizabeth St (North),71
2888089,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,57,Bourke St Bridge,27
2888090,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,58,Bourke St - Spencer St (North),156
2888091,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,59,Swanston St - RMIT Building 80,0
2888092,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,61,Swanston St - RMIT Building 14,83
2888093,11/02/2019 01:00:00 AM,2019,November,2,Saturday,1,62,La Trobe St (North),95
2888094,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,4,Town Hall (West),205
2888095,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,17,Collins Place (South),23
2888096,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,18,Collins Place (North),15
2888097,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,53,Collins St (North),45
2888098,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,2,Bourke Street Mall (South),74
